(1) Saldo de la cartera a la fecha de corte del reporte,(2) Vigente,(3) Vencida 1-2 Meses,(4) Vencida 2-3 Meses,(5) Vencida 1-3 Meses,(6) Vencida 3-4 Meses,(7) Vencida > de 4 Meses,(8) Vencida 3-6 Meses,(9) Vencida +6 meses,(10) Vencida 1-4 meses,(11) Vencida 4-6 meses,(12) Vencida 6-12 meses,(13) Vencida 12-18 meses,(14) Vencida > 12 meses,(15) Vencida > 18 meses,(16) Número de clientes Mora > 30 días,(17) Calificación de Riesgo A / Número de Clientes,(18) Calificación de Riesgo A / Saldo,(19) Calificación de Riesgo B / Número de Clientes,(20) Calificación de Riesgo B / Saldo,(21) Calificación de Riesgo C / Número de Clientes,(22) Calificación de Riesgo C / Saldo,(23) Calificación de Riesgo D / Número de Clientes,(24) Calificación de Riesgo D / Saldo,(25) Calificación de Riesgo E / Número de Clientes,(26) Calificación de Riesgo E / Saldo,año,mes,dia
3758042159649.0,3432304188970.0,35688037698.0,22663675409.0,0.0,18838809737.0,248547447835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70318,666058,3244043131377.0,31820,145373021203.0,13506,55494283527.0,8457,33806753723.0,60742,279324969819.0,2016,5,31
3734789444647.0,3405028965587.0,29821473645.0,24820685040.0,0.0,18505018331.0,256613302044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72139,661649,3200497342855.0,33748,153285307239.0,14443,59379789503.0,8651,33554953172.0,63514,288072051878.0,2016,6,30
3733094256500.0,3404399382951.0,31104362522.0,21374374147.0,0.0,21114257032.0,255101879848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69867,662718,3201710610248.0,34633,155073517478.0,896464,55054216088.0,8879,35113544569.0,60710,286142368117.0,2016,7,31
3763116229316.0,3431062792786.0,27889336200.0,20622657043.0,0.0,17725789762.0,265815653525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71662,666987,3232915476684.0,32984,146772681897.0,903066,55616541519.0,8407,32093393114.0,63575,295718136102.0,2016,8,31
3764298559487.0,3441073950631.0,31793941482.0,19944402586.0,0.0,17040658162.0,254445606626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66296,670075,3246986490634.0,33684,149115121634.0,900995,52715870410.0,8599,31854316951.0,57571,283626759858.0,2016,9,30
3770927763455.0,3440337279388.0,33906474877.0,23051285064.0,0.0,16710376539.0,256922347587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70263,671006,3250221549417.0,34109,148411236375.0,904464,55643524441.0,8231,30855240802.0,60301,285796212420.0,2016,10,31
3768384035562.0,3430371978722.0,33821870403.0,23880626274.0,0.0,19377751618.0,260931808545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73809,670977,3244699334802.0,33945,146671612154.0,906044,54949766577.0,8625,33160218428.0,62790,288903103601.0,2016,11,30
3754602029801.0,3423429838773.0,31726878460.0,24209638094.0,0.0,20155736805.0,255079937669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70777,661023,3193008627281.0,44078,187768294780.0,902919,57204842644.0,9259,34459576313.0,59285,282160688783.0,2016,12,31
3762087230204.0,3420769155364.0,34554872448.0,23101674517.0,0.0,20768344654.0,262893183221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75226,660576,3196007173699.0,44007,185832825348.0,904596,55874394010.0,9368,35030991516.0,62783,289341845631.0,2017,1,31
3775610496516.0,3431307059804.0,32487083638.0,25351147906.0,0.0,19624011284.0,266841193884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78647,663556,3212439499908.0,42268,178733601538.0,910053,56870126563.0,9235,34497590878.0,66527,293069677629.0,2017,2,28
3783692235506.0,3443322202322.0,34612682646.0,21779964955.0,0.0,21054249761.0,262923135822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81075,669789,3241345663953.0,38944,164860071847.0,915666,51915387485.0,9608,36008564100.0,69851,289562548121.0,2017,3,31
3789709475139.0,3437075277368.0,38114006507.0,25909553567.0,0.0,18665029111.0,269945608586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86220,669575,3238527172024.0,39570,164449799996.0,919443,56265475402.0,8894,33296058241.0,73852,297170969476.0,2017,4,30
3782725775264.0,3435510292676.0,41841108608.0,26241288854.0,0.0,21702431608.0,257430653518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83560,670195,3241931220615.0,39307,162139376146.0,916768,57932500953.0,9134,35527767723.0,69882,285194909827.0,2017,5,31
3842011022550.0,3503290502501.0,35241458191.0,29630369528.0,0.0,21809451928.0,252039240402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86881,672603,3297199212068.0,39754,163282397659.0,929327,64849367159.0,9928,37111816001.0,73241,279568229663.0,2017,6,30
3876320511460.0,3538711686897.0,42531976429.0,24382714866.0,0.0,24633301613.0,246060831655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82622,675842,3340340860396.0,39785,163901695645.0,931328,58629112500.0,10538,39555607886.0,68075,273893235033.0,2017,7,31
3914563737775.0,3573218356732.0,35764463523.0,30063482687.0,0.0,20366884128.0,255150550705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85496,680097,3379035012194.0,37841,154937835042.0,939830,62745385685.0,9686,34974373617.0,72181,282871131237.0,2017,8,31
3940400038216.0,3594460675931.0,38913749355.0,25754063128.0,0.0,25382606852.0,255888942950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89604,681993,3401012741218.0,37914,154070201420.0,947270,61592981389.0,10681,40112095216.0,75535,283612018973.0,2017,9,30
